name,transcription
Recording (14)_chunk_0003.wav,पहिले सामान्य कपडामा सामान्य रूपमा चित्र लेख्ने गरिन्थ्यो पछि त्यसलाई टिकाउ र कलात्मक बनाउन थालियो
Recording (14)_chunk_0004.wav,तिब्बत र चिनमा नेपाली कलाकारहरूलाई झिकाएरै कला सिर्जना गर्न लगाइयो
Recording (14)_chunk_0005.wav,त्यसैले नेपाली कलाकारहरूले तिब्बत र चिनमै गएर पनि थाङ्का लेख्न थाले
Recording (14)_chunk_0006.wav,पछिल्लो समयमा थाङ्का नेपाल तिब्बत र भुटानसहितको हिमाली बौद्धमार्गीहरूको पहिचान बनिएको छ
Recording (16)_chunk_0000.wav,थाङ्का कलाप्रेमीहरूका लागि उत्कृष्ट कलाकृत बौद्धमार्गीहरूका लागि आस्थाको प्रतीक र शान्तिप्रेमीका लागि शान्तिको प्रतीक हो
Recording (16)_chunk_0001.wav,गुम्बाहरूमा र घर घरमा समेत थाङ्कालाई सजाइन्छ र पुजिन्छ
Recording (16)_chunk_0002.wav,लामा बौद्ध समुदायमा त हरेक मृतकका नाममा एउटा थाङ्का अनिवार्य रूपमा चाहिन्छ
Recording (16)_chunk_0003.wav,मान्छे मर्दा उसको इष्ट देवताअनुसार अलग अलग थाङका चाहिन्छ मृत
Recording (16)_chunk_0004.wav,ितकक नाममा थाङ्का घरमा पूजा गरिन्छ वा गुम्बाहरूमा चढाइन्छ
Recording (16)_chunk_0005.wav,त्यस्तो त थाङ्गा पौधमार्कीहरूले मात्र होइन अरूले पनि किन्छन्
Recording (16)_chunk_0006.wav,कला मन पराउनेहरू सुन्दर कलाका रूपमा यसलाई किन्छन् नेपाल घुम्न आउने कतिपय प पर्यटकहरू
Recording (16)_chunk_0007.wav,बुद्ध जन्मिएको भूमिको चिनोको रूपमा पनि थाङ्कालाई किन्ने गरेका छन्
Recording (16)_chunk_0008.wav,पछिल्लो समयमा थाङ्गाको कला र प्रविधि प्रयोग गरेर
Recording (16)_chunk_0009.wav,अरू धर्मका देवी देवताहरूको चित्रहरू पनि बनाउन थालिएको छ
Recording (17)_chunk_0000.wav,नेपालमा हरेक जाति समुदायका आफ्ना मौलिक सिप प्रविधि र उत्पादन छन् हामीसँग धातु
Recording (17)_chunk_0001.wav,काठ न बाँस माटो पात कपास आदिका सामान बनाउने आफ्नै प्रकारको सिप र प्रविधि थियो अझै छ
Recording (17)_chunk_0002.wav,हाम्रा आफ्नै मौलिकतामा राडीपाखी गलैँचा कागज कपडा फाँडाकुँडा मूर्ति आदिको उत्पादन हुने गरिएको पाइन्छ
Recording (17)_chunk_0003.wav,विश्वव्यापीकरणको बढ्दो प्रभावसँगै आयातीत उत्पादनको बढ्दो प्रयोगले हाम्रा मौलिक उत्पादनहरू सङ्कटमा पर्दै गएका छन्
Recording (17)_chunk_0004.wav,यसैले हामीले हाम्रा मौलिक उत्पादनलाई प्रवर्धन गर्नु आवश्यक छ थाङ्गा हाम्रा
Recording (19)_chunk_0000.wav,धेरै मानिसहरू थाङका व्यवसायमा आश्रित छन् आजभोलि अरू जातिका मानिसहरू पनि यसमा संलग्न हुन थालेका छन्
Recording (19)_chunk_0001.wav,थाङ्का व्यवसायमा अपाङ्गता भएका व्यक्तिहरू समेत सहभागी हुन थालेका छन्
Recording (19)_chunk_0002.wav,वर्षेनी अरौबौँ रुपैयाँको थाङ्का विदेशमा बिक्री हुन्छ संसारमा थाङकाको साथसाथै बुद्धसम्बन्धी मूर्तिहरूको पनि उत्तिकै माग छ
Recording (19)_chunk_0003.wav,कतिपय बौद्धमार्गीहरू थाङ्गाको साथसाथै बुद्धका मूर्तिहरू पनि लैजान्छन् नेपालमा बुद्ध सम्बन्धी मूर्तिको उत्पादन पनि हुने गरेको छ
Recording (19)_chunk_0004.wav,बुद्ध र भिगुटीको जन्मथलो कतिपय बुद्ध गुरुहरूको धर्म र ज्ञानथलोको रूपमा रहेको नेपाल
Recording (19)_chunk_0005.wav,यसर्थ थाङ्का र मूर्तिलाई सँगसँगै प्रवर्तन गर्ने गर्न सके नेपाल बुद्ध सम्बन्धी सामग्री उत्पाद
Recording (19)_chunk_0006.wav,उत्पादन र बिक्री गर्ने संसारकै प्रमुख राष्ट्र बन्न सक्छ
Recording (20)_chunk_0000.wav,हरियालीले भरिपूर्ण गुल्मी जिल्लाको दिगाम गाउँ प्राचीनकालदेखि नै स्वर्ग जस्तै साँच्चै सुन्दर थियो
Recording (20)_chunk_0001.wav,यही गाउँको रातामाटा भन्ने ठाउँमा एउटा आकर्षक घर थियो त्यस घरमा
Recording (20)_chunk_0002.wav,पुराना खालका सामानहरू र आधुनिक कालका सामानहरू प्रशस्तै थिए
Recording (20)_chunk_0003.wav,त्यस घरमा ढिकी जाँतो माना पाथी आदि पुराना सामानहरूले घरको शोभा बढाएका थिए ती सामानहरू ठाउँ ठाउँमा मिलाएर राखिएका थिए
Recording (20)_chunk_0004.wav,गाउँ निकै विकसित हुँदै थियो किसानहरू उखु खेती गर्दै थिए
Recording (20)_chunk_0005.wav,खेतीबारीमा अदुवा लगाउँदै थिए उनीहरूले फलफुल खेती पनि गरेका थिए र आफ्नो आम्दानी पनि बढाएका थिए
Recording (20)_chunk_0006.wav,उनीहरूले यस घरलाई गाउँकै सङ्ग्रहालय बनाउन चाहेका थिए किनकि मानिसहरू त्यो घर देखेर निकै प्रसन्न हुन्थे
Recording (20)_chunk_0007.wav,त्यस घरमा दुईजना बुढाबुढी बस्थे तिनीहरू मिलिचुली खेतबारी काम गर्थे
Recording (20)_chunk_0008.wav,म पनि यही घरमा जन्मेँ मिठा मिठा फलफुल खाएँ यही गाउँमा खेलि खेलि हुर्केँ
Recording (22)_chunk_0000.wav,टेलिभिजनमा समाचार आउँदै थियो विद्वानहरूले आफ्ना विचार राख्दै थिए
Recording (22)_chunk_0001.wav,अब नेपालको विकासको गति लिँदैछ देशभर उद्योगहरू खुल्दैछन् कृषिमा नयाँ क्रान्ति आउँदैछ
Recording (22)_chunk_0002.wav,युवा शक्ति अगाडि बढ्दैछन् सबै नागरिकहरू उत्साहित भएर काममा लाग्दैछन्
Recording (22)_chunk_0003.wav,देश सङ्घीयतामा जाँदैछ भूगोलका रेखाहरू कोरिँदैछन्
Recording (22)_chunk_0004.wav,जनताका आकाङक्षाहरू पूरा हुँदैछन् ठाउँ ठाउँमा बिजुली निकालिँदैछ
Recording (22)_chunk_0005.wav,राजनीतिक परिवर्तनपछि नेपाल नयाँ युगम प्रमा प्रवेश गर्दै थियो
Recording (22)_chunk_0006.wav,नेपालीहरू रमाउँदै थिए नेपाल नवीन सोच र इच्छा शक्तिका साथ अगाडि बढ्दै थियो
Recording (26)_chunk_0000.wav,वर्षा आनन्द प्राप्तिको समय हो यो समयमा रस र धरतीको मिलन हुन्छ
Recording (26)_chunk_0001.wav,धरतीमा रहेका सम्पूर्ण वनस्पति रुख बिरुवा प्राणी आदिले जीवनका लागि ऊर्जा प्राप्त गर्छन्
Recording (26)_chunk_0002.wav,मानवको मनमा खेतमा धान रोपेर मङ्सिरमा अन्न ऐश्वर्या ल्याई यस धरतीमा आफू बाँचेर अरूलाई पनि बचाउने कल्पनाको बाढी आउँछ
Recording (26)_chunk_0003.wav,आकाश गीत सङ्गीतले युक्त हुन्छ धरतीका सम्पूर्ण प्राणीहरू सुखरूपी समुद्रमा पौडखिन्
Recording (28)_chunk_0000.wav,आधुनिक युगमा मानवीय आवश्यकता पूर्ति गर्न वैज्ञानिकहरूले नयाँ नयाँ कुराको अनुसन्धान गरेका छन्
Recording (28)_chunk_0001.wav,गाउँलेहरू सहरया भएका छन् तर आफ्नो कर्तव्य बिर्सन थालेका छन्
Recording (28)_chunk_0002.wav,सहरमा औद्योगिक क्षेत्रको विकास मात्र होइन दानवीय प्रवृति पनि देखा परिएको छ
Recording (28)_chunk_0003.wav,विज्ञानले विविध क्षेत्रमा चमत्कारिक परिवर्तन गरे तापनि मानवता हराएको छ
Recording (28)_chunk_0004.wav,शिक्षित नेपालीहरू पनि नैतिक र चरित्रवान बन्न सकेका छैनन्
Recording (28)_chunk_0005.wav,शैक्षिक बेरोजगारी बढेको छ गरिबीले सताएको छ
Recording (28)_chunk_0006.wav,सहरको यान्त्रिकताभित्र मानिसहरू दयालु र मायालु बन्न सकेका छैनन्
Recording (28)_chunk_0007.wav,बसमा चढ्दा पनि होसियार बन्नुपर्छ नत्र आफ्नो मोबाइलसमेत चोरी हुनसक्छ
Recording (28)_chunk_0008.wav,सहरमा जङ्गली जनावरको डर त छैन तापनि रक्षाह मिचाह र नशालुको डर हुन्छ
Recording (28)_chunk_0009.wav,छापाली गोर्खाली पाल्पाली गुल्मेली र पर्वत लगायत सबै नेपालीहरू मिल्नुपर्छ
Recording (34)_chunk_0000.wav,गाउँ बस्तीका मानिसलाई बाहिरतिर घुम्न त्यति धेरै अवसर हुँदैन खेत बारी कुलो वन घास
Recording (34)_chunk_0001.wav,दाउरा वरपर तलमाथि गर्दै उनीहरूको समय बित्छ
Recording (34)_chunk_0002.wav,हिउँद वर्षा जाडो गर्मी हावा हुरी बतास बिहान बेलुका दिउँसो राति आदि सबै
Recording (34)_chunk_0003.wav,सबै याम समय मौसममा काम गर्नुपर्छ उनीहरूले कहिले काहीँ जान पाउने ठाउँ भनेको नजिकैको हाटबजार हो
Recording (34)_chunk_0004.wav,यसबाहेक उनीहरू कहिलेकाहीँ गाउँमा हुने बिहेबटुलो चाडपर्व जात्रा मेला उत्सव आदिमा जान पाउँछन्
Recording (37)_chunk_0000.wav,यस कम्पनीबाट उत्पादित तथा सङ्कलित वस्तुको बिक्री विवरण गर्ने र दुई कम्पनीका बीचमा सहकार्य गर्ने भनी
Recording (37)_chunk_0001.wav,त्यस कम्पनीले राखेको प्रस्तावलाई यो कम्पनी सहरर्ष स्वीकार गर्छ
Recording (37)_chunk_0002.wav,यस कम्पनीले विगतका दिनमा अन्य धेरै कम्पनीसँग सहकार्य गरिसकेको छ र त्यसबाट दुवै पक्ष लाभावित पनि भएका छन्
Recording (37)_chunk_0003.wav,त्यसैले आगामी दिनमा अन्य कम्पनीसँग झैँ त्यस कम्पनीसँग पनि सुमधुर वातावरणमा सहयोग आदान प
Recording (37)_chunk_0004.wav,आदान प्रदान हुने अपेक्षाका साथ यथाशीघ्र सम्झौता गरी काम अघि बढाउन समेत यो कम्पनी अनुरोध गर्छ
Recording (37)_chunk_0005.wav,यस कम्पनीबाट उपलब्ध हुने वस्तुहरूको विस्तृत विवरण र मूल्य सूची हाम्रो वेबसाइटमा उपलब्ध छ
Recording (37)_chunk_0006.wav,यस कम्पनीबाट उत्पादित तथा सङ्कालित सामानको विवरण यस प्रकार रहेका छन्
Recording (46)_chunk_0000.wav,म आज वाद विवाद प्रतियोगिताको विषयको विपक्षबाट बोल्दैछु स्थानीयकरणले स्थानीय भाषा
Recording (46)_chunk_0001.wav,क्षेत्र जाति प्रविधि सिप विचारको संरक्षण सम्वर्धन र विकासको कुरा गर्छ
Recording (46)_chunk_0002.wav,कुनै पनि भाषा संस्कृति जाति सम्पूर्ण मानव जातिका सम्पत्ति हुन्
Recording (46)_chunk_0003.wav,यी हाम्रा पुर्खाहरूको आविष्कार हुन् तिनमा मानव जातिका इतिहास सुरक्षित हुन्छ
Recording (46)_chunk_0004.wav,मान्छेले आफ्नो बाल्य परिवेशमा सिकेको भाषा सिप
Recording (46)_chunk_0005.wav,चालचलनहरू चाहेर पनि भुल्न सक्दैनन् र ती उसका लागि प्रिय हुन्छन्
Recording (46)_chunk_0006.wav,ती उसका जीवन पद्धति बनिसकेका हुन्छन् तिनमै उसको पहिचान बनिसकेको हुन्छ
Recording (46)_chunk_0007.wav,अनि आफ्नो सारा पहिचान बनिसकेको विषयको संरक्षण सम्वर्धन र विकास गर्नु उसको अधिकार र कर्व्य होइन र
Recording (46)_chunk_0008.wav,स्थानीयकरण जस्तै अधिकार र कर्तव्य त्यातक हो यसैले म स्थानीयकरणको पक्षपाती छु
Recording (49)_chunk_0000.wav,समयको एउटा लामो झरीपछिछि बल्ल घाम उदाएको छ बिहान भएको छ
Recording (49)_chunk_0001.wav,पानी थामिएको छ अब हामीले हाम्रो आरोहणको थालनी गर्नुपर्छ आस्थाको टुकी बाल्नुपर्छ
Recording (49)_chunk_0002.wav,अब हामीले उज्यालो छर्नुपर्छ मौसम पसन्तको छ अब हामीले गीत गुन्जउनुपर्छ
Recording (49)_chunk_0003.wav,फर्केका छन् गुराँसहरू अब हामीले मालाहरू उन्नुपर्छ
Recording (49)_chunk_0004.wav,नाच्दा नाच्दै चहाँ रोकेका थियो सोरठीको ताल त्यहीँबाट चाल्दै एउटा चालका तीन कोटी पाइला
Recording (63)_chunk_0000.wav,प्रकृतिमा जनताको जीवनमा र तिनका सुखदुखमा ठुलो ज्ञान हुन्छ तिनीहरूसँग भिचेर ज्ञानको उपार्जन गर्न सकिन्छ
Recording (63)_chunk_0001.wav,समाजका केटाकेटी बुढाबुढीसँग सम्पर्क राख्नाले र लेख बेसी गाउँघर
Recording (63)_chunk_0002.wav,खेतखलो मेला उत्सवमा घुम्ने फेर्ने गर्नाले पनि धेरै अनुभवी तथा पा
Recording (63)_chunk_0003.wav,पारखी बनाउँछ लोक साहित्यमा चलेको राम्रा राम्रा गीत उखान टुक्का लोककथा
Recording (63)_chunk_0004.wav,गाउँखाने कथा आदि सुन्ने बटुल्ने गर्नाले लोकसाहित्यको स सम्वर्धन र विकासमा मद्दत पनि हुन्छ
Recording (63)_chunk_0005.wav,कुनै चिज घटना वा दृश्य देख्दा उठेको विचार र मनमा आएको भावहरूलाई अभिव्यक्त गर्नुपर्छ
Recording (63)_chunk_0006.wav,यो वास्तविक अनुभूति यथार्थ पनि हुन्छ यसरी नै नयाँ चिज खोज्ने उत्सुकता र नयाँ चिज
Recording (63)_chunk_0007.wav,ग्रहण गर्ने संस्कार बसाउनुपर्र्छ पर्यवेक्षण र कल्पना पनि शक्ति बढाउनुपर्र्छ
Recording (64)_chunk_0000.wav,दुईजना बटुवा बगरमाथि हिँड्दै थिए खाम चर्किँदै थियो एकजनाले छाता ओड्यो
Recording (64)_chunk_0001.wav,अर्कासँग छाता थिएन तर उसले जुत्ता लगाएको थियो छाता हुनेसँग जुत्ता थिएन
Recording (64)_chunk_0002.wav,केही बेरपछिछि घामको रूपले बालुवा बेसरी तात्यो
Recording (64)_chunk_0003.wav,छाता हुनेको पैदाला फत्फती पुोल्न थाल्यो उसले आफ्नो सहयात्रीलाई भन्यो
Recording (64)_chunk_0004.wav,बालुवाले साह्रै पोल्न थाल्यो मलाई एकछिन तिम्रो जुत्ता देऊ म तिमीलाई मेरो छाता दिन्छु
Recording (64)_chunk_0005.wav,जुत्तावालाले आफ्नो जुत्ता फुकालेर साथीलाई दियो र छाता ओढेर खाली खुट्टा बालुवामाथि हिँड्न थाल्यो
Recording (64)_chunk_0006.wav,पाँच दस पाइला हिँड्दा हिँड्दै ऊ आतयो र भन्यो भो तिम्रो छाता तिमी नै ओड मेरो जुत्ता देऊ जुत्ता नभई म एक पाइलाई हिँड्न सक्दिन
Recording (64)_chunk_0007.wav,विचार छातावाला सङ्कटमा पर्यो र उसले भन्यो कस्तो अचम्म घामबरू सहन सकिन्छ
Recording (64)_chunk_0008.wav,तर त्यही घामले तातेको बालुवालाई सहन सकिन्न ती दुई बटुवा कुरा सुनिरहेको बालुवाले
Recording (64)_chunk_0009.wav,खमण्डले फुल्दै सूर्यलाई हेऱ्यो र चिचछ्यायो देख्यो मेरो शक्ति
Recording (64)_chunk_0010.wav,तिमी जति कडा भए पनि मानिसलाई पोल्न सक्दैनौ मैले मान्छेको सातो लिन सक्छु
Recording (64)_chunk_0011.wav,यो सुनेर सूर्य मुसुक्क हाँस्यो र बादलभित्र पस्यो बटुवाहरू
Recording (64)_chunk_0012.wav,ले चैनको सास फेरे केही बेरमै बालुवा सेलायो पटुवाहरू आरामसाथ अगाडि बढे
Recording (66)_chunk_0000.wav,खेतीका दुई तरिका छन् रासायनिक र जैविक रासायनिक मल तथा
Recording (66)_chunk_0001.wav,कीटनाशक विषादीको प्रयोग गरेर गरिने खेती रसायनिक खेती हो परम्परागत जैविक
Recording (66)_chunk_0002.wav,वस्तुमा मात्र ननिभर रहेर गरिने खेती जैविक हो
Recording (66)_chunk_0003.wav,जीवसँग सम्बन्धित कुरालाई जैविक भनिन्छ जो जन्मिन्छ बढ्छ र मर्छ अनि जसलाई
Recording (66)_chunk_0004.wav,बाँच्नका लागि खाना पानी र हावा चाहिन्छ त्यही नै जीव हो
Recording (66)_chunk_0005.wav,विषादी लगायतका हानिकारक तत्त्व प्रयोग नगरी गरिने खेती जैविक हो
Recording (66)_chunk_0006.wav,यसमा मानिस तथा जीवका लागि हानिकारक हुने तत्त्प्रयोग हुँदैन
Recording (66)_chunk_0007.wav,आफ्नै परिवेशमा पाइने वनस्पति जडीबुटी तथा अन्य वस्तुबाट जैविक खेतीका सामग्री तयार पारिन्छ यी सामग्री जीवनका लागि हानिकारक नभई लाभदायक हुन्छन्
Recording (66)_chunk_0008.wav,कृषियुगको आरम्भसँगै जैविक खेतीको सुरुवात भएको हो
Recording (66)_chunk_0009.wav,उद्योगधन्दाको विकाससँगै जनसङ्ख्याको ठूलो हिस्सा कृषिबाट विमुख भयो
Recording (66)_chunk_0010.wav,थोरैले काम गरेर धेरैलाई पाल्नुपर्र्ने भयो यसैले थोरै जमिनमा धेरै उत्पादन गर्ने उपायका रूपमा
Recording (66)_chunk_0011.wav,रासायनिक मलमा बाली बिरुवाका लागि अधिक मात्रामा चाहिने नाइट्रोजन फस्फरस
Recording (66)_chunk_0012.wav,जस्ता खाद्यतत्त्वहरू मिश्रण गरिएको उत्पादन बढ्न थाल्यो
Recording (66)_chunk_0013.wav,यसै गररी बीसौँ शताब्दीदेखि बाली नालीमा लाग्ने
Recording (66)_chunk_0014.wav,नियन्त्रण गर्न विषाधीको पनि प्रयोग हुन थाल्यो रासायनिक मलबाट उत्पादन बढ्ने
Recording (66)_chunk_0015.wav,विषादीको प्रयोगबाट रोग र किरा नियन्त्रण हुने भएपछि थोरै जमिनमा धेरै उत्पादन हुनु स्वाभाविक हो
Recording (66)_chunk_0016.wav,यसरी थोरै मेहनतबाट धेरै उब्जनी दिन सकेकाले रासायनिक खेती चाँडै लोकप्रिय हुन थाल्यो
Recording (66)_chunk_0017.wav,रासायनिक खेतीमा यी फाइदाहरू भएर पनि यसका बेफाइदा पनि देखििन
Recording (66)_chunk_0018.wav,यसले गर्दा रासायनिक खेतीका विषयमा अनुसन्धान र अध्ययन गर्नुपर्ने अवस्था आयो
Recording (66)_chunk_0019.wav,हुन थालेका अध्ययनले यसको विकल्पको खोजी गर्नुपर्ने तथ्यलाई प्रस्तुत गर्यो
Recording (66)_chunk_0020.wav,पृथ्वीको पर्यावरण मानव स्वास्थ्य र वानस्पतिक चक्रमा आएको सङ्कटले पनि रासायनिक खेती प्रतिकूल हुन्छ भन्ने निष्कर्ष प्रस्तुत भयो
Recording (68)_chunk_0000.wav,रासायनिक मलले माटोको अम्लयपन बढाएर प्राकृतिक बनावट बिगार्छ जैविक तत्त्वको कमी हुँदा जमिन मरूभूमिमा परिणत हुन बेर लाग्दैन
Recording (68)_chunk_0001.wav,बाली बिरुवालाई सखा पार्ने किट पतङ्गलाई कतिपय किरा फट्याङ्ग्रा च
Recording (68)_chunk_0002.wav,चराचुरुङ्गीहरूले खाएर थपाएर सहयोग पुऱ्याइरहेका हुन्छन् त्यस्तै मौरी बारुला पुतली
Recording (68)_chunk_0003.wav,झिङ्गाा लगायतका किटपतङ्ले बालीको पराग प्रक्रियामा
Recording (68)_chunk_0004.wav,सहयोग पुर्याई उत्पादन बढाउँछ रासायनिक खेतीले बाली बिरुवाको मित्रलाई पनि असर गर्दछ
Recording (68)_chunk_0005.wav,अर्कातिर शत्रुक्रिया किराहरूको क्षमता बढ्छ र कडाभन्दा कडा
Recording (68)_chunk_0006.wav,खालका विषादीको प्रयोग गर्नुपर्ने अवस्था आउँछ विषादीको बढ्दो प्रयोगले मानव स्वास्थ्यमा गम्भीर असर गर्छ यसले क्यान्सर उच्च रक्तचाप
Recording (68)_chunk_0007.wav,कलेजो र फोक्सो बिग्रिने खालका रोगहरूलाई निम्त्याउँछ यसरी रासायनिक खेतीले मानव स्वास्थ्य पर्यावरणीय सन्तुलन र
Recording (7)_chunk_0000.wav,वाक्यमा प्रयुक्त पदको निश्चित क्रम हुन्छ कुनै पनि भाषामा नाम सर्वनाम विशेषण क्रिया
Recording (7)_chunk_0001.wav,क्रियाविशेषण आदि शब्द वाक्यमा प्रयोग भइसकेपछि तिनलाई पद भनिन्छ
Recording (7)_chunk_0002.wav,भाषामा धेरै किसिमका पद भए पनि तिनले वाक्यमा प्रयुक्त हुँदा सम्पन्न गर्ने मुख्य कार्यका आधारमा कर्ता
Recording (7)_chunk_0003.wav,कर्म र क्रिया गरी तीन प्रकारमा राखेर अध्ययन गरिन्छ संसारका प्रत्येक भाषाका वाक्यमा प्रयुक्तकर्ता कर्म क्रियाको निश्चित क्रम हुन्छ
Recording (7)_chunk_0004.wav,यसैले पदक्रमका आधारमा संसारका भाषाको वर्गीकरण गर्न सकिन्छ र गरिएको पनि छ
Recording (7)_chunk_0005.wav,पदक्रमका आधारमा संसारमा छ किसिमका भाषा रहेका छन् नेपाली मैथली
